Source_Category_Raw,Source_Category,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Landfills,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Landfills, , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00,64.00,66.00,69.00,74.00,80.00,75.00,35.00,35.00,36.00,24.00,24.00,25.00,25.00
Other,WASTE DISPOSAL & RECYCLING (Tier 1 - 10)_Other,11.00,12.00,14.00,15.00,16.00,14.00,17.00,18.00,20.00,21.00,20.00,21.00,19.00,23.00,25.00,0.00,0.00,0.00,0.00,0.00,26.00,28.00,31.00,33.00,35.00,36.00,31.00,29.00,30.00,29.00,30.00,30.00,5.00
TRANSPORTATION TOTAL (Tier 0 - 03),TRANSPORTATION TOTAL (Tier 0 - 03),18526.00,18283.00,18039.00,17796.00,17552.00,17309.00,17064.00,16819.00,16574.00,16315.00,16061.00,15807.00,15554.00,15300.00,15047.00,14793.00,14531.00,14270.00,13529.00,12790.00,12050.00,11569.00,11086.00,10604.00,10121.00,9638.00,9156.00,8737.00,8533.00,8362.00,7969.00,7575.00,7231.00
HIGHWAY VEHICLES (Tier 1 - 11),HIGHWAY VEHICLES (Tier 1 - 11),16910.00,16607.00,16303.00,15999.00,15696.00,15392.00,15088.00,14785.00,14481.00,14172.00,13869.00,13566.00,13263.00,12960.00,12657.00,12354.00,12051.00,11748.00,10961.00,10175.00,9388.00,8860.00,8332.00,7804.00,7277.00,6749.00,6221.00,5985.00,5859.00,5681.00,5325.00,4952.00,4543.00
Light-Duty Gas Vehicles & Motorcycles,HIGHWAY VEHICLES (Tier 1 - 11)_Light-Duty Gas Vehicles & Motorcycles,11996.00,11727.00,11458.00,11189.00,10920.00,10652.00,10383.00,10114.00,9845.00,9573.00,9304.00,9036.00,8767.00,8499.00,8231.00,7962.00,7694.00,7425.00,6847.00,6268.00,5690.00,5305.00,4921.00,4537.00,4152.00,3768.00,3384.00,3251.00,3218.00,3159.00,2903.00,2681.00,2496.00
        light-duty gas vehicles,HIGHWAY VEHICLES (Tier 1 - 11)_        light-duty gas vehicles,11773.00,11514.00,11255.00,10995.00,10736.00,10477.00,10217.00,9958.00,9698.00,9436.00,9177.00,8918.00,8659.00,8400.00,8141.00,7882.00,7623.00,7364.00,6791.00,6217.00,5643.00,5263.00,4882.00,4502.00,4122.00,3741.00,3361.00,3227.00,3191.00,3128.00,2877.00,2652.00,2473.00
        motorcycles,HIGHWAY VEHICLES (Tier 1 - 11)_        motorcycles,222.00,213.00,203.00,194.00,184.00,175.00,165.00,156.00,147.00,137.00,128.00,118.00,109.00,99.00,90.00,80.00,71.00,61.00,56.00,51.00,46.00,42.00,38.00,35.00,31.00,27.00,23.00,24.00,27.00,31.00,25.00,29.00,22.00
Light-Duty Gas Trucks,HIGHWAY VEHICLES (Tier 1 - 11)_Light-Duty Gas Trucks,2776.00,2785.00,2793.00,2802.00,2811.00,2820.00,2829.00,2838.00,2847.00,2855.00,2864.00,2873.00,2882.00,2890.00,2899.00,2908.00,2917.00,2926.00,2823.00,2720.00,2617.00,2539.00,2460.00,2382.00,2303.00,2225.00,2147.00,2074.00,1997.00,1942.00,1929.00,1804.00,1638.00
        light-duty gas trucks 1,HIGHWAY VEHICLES (Tier 1 - 11)_        light-duty gas trucks 1,1379.00,1400.00,1422.00,1443.00,1464.00,1485.00,1507.00,1528.00,1549.00,1570.00,1591.00,1612.00,1634.00,1655.00,1676.00,1698.00,1719.00,1740.00,1679.00,1618.00,1557.00,1526.00,1495.00,1463.00,1432.00,1401.00,1369.00,1318.00,1267.00,1263.00,1251.00,1192.00,1060.00
        light-duty gas trucks 2,HIGHWAY VEHICLES (Tier 1 - 11)_        light-duty gas trucks 2,1397.00,1384.00,1372.00,1359.00,1347.00,1335.00,1322.00,1310.00,1298.00,1285.00,1272.00,1260.00,1248.00,1235.00,1223.00,1211.00,1198.00,1186.00,1144.00,1102.00,1060.00,1013.00,966.00,919.00,871.00,824.00,777.00,756.00,731.00,680.00,678.00,612.00,578.00
Heavy-Duty Gas Vehicles,HIGHWAY VEHICLES (Tier 1 - 11)_Heavy-Duty Gas Vehicles,1679.00,1631.00,1583.00,1535.00,1487.00,1439.00,1391.00,1343.00,1295.00,1246.00,1198.00,1150.00,1103.00,1055.00,1007.00,959.00,911.00,863.00,786.00,710.00,633.00,591.00,548.00,506.00,463.00,421.00,379.00,370.00,370.00,330.00,256.00,250.00,201.00
Diesels,HIGHWAY VEHICLES (Tier 1 - 11)_Diesels,460.00,464.00,469.00,473.00,477.00,482.00,486.00,490.00,494.00,499.00,503.00,507.00,512.00,516.00,520.00,525.00,529.00,533.00,505.00,476.00,448.00,425.00,403.00,380.00,357.00,335.00,312.00,289.00,274.00,249.00,238.00,218.00,208.00
        heavy-duty diesel vehicles,,411.00,416.00,420.00,425.00,430.00,435.00,440.00,445.00,449.00,454.00,459.00,464.00,469.00,474.00,478.00,483.00,488.00,493.00,467.00,441.00,415.00,395.00,375.00,355.00,335.00,315.00,295.00,274.00,261.00,235.00,230.00,212.00,198.00
        light-duty diesel trucks,,41.00,39.00,38.00,37.00,36.00,35.00,33.00,32.00,31.00,30.00,28.00,27.00,26.00,25.00,23.00,22.00,21.00,20.00,18.00,17.00,15.00,14.00,13.00,12.00,11.00,10.00,9.00,8.00,8.00,8.00,4.00,3.00,6.00
        light-duty diesel vehicles,,8.00,9.00,10.00,11.00,11.00,12.00,13.00,14.00,14.00,15.00,16.00,16.00,17.00,18.00,19.00,19.00,20.00,21.00,20.00,19.00,18.00,16.00,14.00,13.00,11.00,9.00,8.00,7.00,6.00,6.00,3.00,3.00,3.00
OFF-HIGHWAY (Tier 1 - 12),OFF-HIGHWAY (Tier 1 - 12),1616.00,1676.00,1736.00,1796.00,1857.00,1917.00,1976.00,2035.00,2093.00,2143.00,2192.00,2241.00,2291.00,2340.00,2390.00,2439.00,2480.00,2522.00,2568.00,2616.00,2662.00,2709.00,2754.00,2799.00,2845.00,2890.00,2935.00,2752.00,2673.00,2682.00,2644.00,2622.00,2688.00
Non-Road Gasoline,OFF-HIGHWAY (Tier 1 - 12)_Non-Road Gasoline,1437.00,1491.00,1544.00,1598.00,1652.00,1705.00,1751.00,1797.00,1843.00,1889.00,1935.00,1981.00,2027.00,2073.00,2119.00,2165.00,2204.00,2241.00,2283.00,2322.00,2360.00,2402.00,2443.00,2484.00,2525.00,2565.00,2606.00,2425.00,2350.00,2343.00,2344.00,2336.00,2342.00
        recreational,,206.00,223.00,240.00,257.00,274.00,291.00,300.00,308.00,317.00,326.00,334.00,343.00,352.00,360.00,369.00,378.00,385.00,394.00,401.00,409.00,417.00,416.00,416.00,415.00,415.00,415.00,414.00,420.00,435.00,452.00,467.00,484.00,503.00
        construction,,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,78.00,77.00,76.00,74.00,73.00,71.00,69.00,58.00,54.00,52.00,53.00,51.00,50.00
        industrial,,97.00,95.00,93.00,92.00,90.00,88.00,86.00,85.00,83.00,81.00,79.00,78.00,76.00,74.00,72.00,71.00,69.00,67.00,65.00,63.00,61.00,58.00,55.00,52.00,49.00,46.00,43.00,33.00,33.00,31.00,29.00,27.00,24.00
        lawn & garden,,454.00,479.00,503.00,527.00,552.00,576.00,601.00,625.00,649.00,674.00,698.00,723.00,747.00,771.00,796.00,820.00,843.00,867.00,888.00,910.00,933.00,946.00,960.00,973.00,986.00,1000.00,1013.00,891.00,821.00,765.00,811.00,807.00,792.00
        farm,,9.00,9.00,10.00,10.00,10.00,10.00,11.00,11.00,11.00,12.00,12.00,12.00,13.00,13.00,13.00,14.00,14.00,14.00,14.00,15.00,15.00,15.00,15.00,15.00,15.00,16.00,16.00,14.00,14.00,15.00,14.00,14.00,13.00
        light commercial,,31.00,40.00,49.00,58.00,67.00,76.00,85.00,94.00,104.00,113.00,122.00,131.00,140.00,149.00,158.00,167.00,176.00,185.00,193.00,201.00,210.00,213.00,216.00,219.00,222.00,226.00,229.00,186.00,173.00,161.00,171.00,169.00,158.00
        logging,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,3.00,3.00,4.00,5.00,5.00,6.00,6.00,7.00,8.00,8.00,9.00,9.00,10.00,10.00,11.00,11.00,11.00,11.00,12.00,12.00,12.00,13.00
        airport service,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00
        railway maintenance,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
        recreational marine vessels,,559.00,564.00,569.00,574.00,578.00,583.00,588.00,593.00,597.00,602.00,607.00,612.00,616.00,621.00,626.00,631.00,632.00,628.00,635.00,637.00,638.00,667.00,695.00,724.00,753.00,781.00,810.00,811.00,809.00,851.00,787.00,772.00,789.00
Non-Road Diesel,OFF-HIGHWAY (Tier 1 - 12)_Non-Road Diesel,48.00,55.00,63.00,71.00,78.00,86.00,94.00,102.00,111.00,119.00,127.00,136.00,144.00,153.00,162.00,170.00,177.00,188.00,190.00,196.00,202.00,206.00,210.00,213.00,216.00,220.00,223.00,221.00,217.00,224.00,202.00,194.00,188.00
        recreational,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
        construction,,20.00,23.00,26.00,30.00,33.00,36.00,40.00,43.00,46.00,50.00,53.00,57.00,60.00,63.00,67.00,70.00,73.00,77.00,79.00,82.00,85.00,88.00,90.00,92.00,95.00,97.00,99.00,98.00,96.00,103.00,90.00,87.00,85.00
        industrial,,5.00,5.00,6.00,7.00,8.00,9.00,9.00,10.00,11.00,12.00,12.00,13.00,14.00,15.00,15.00,16.00,17.00,18.00,17.00,18.00,18.00,18.00,19.00,19.00,19.00,19.00,19.00,19.00,18.00,16.00,16.00,15.00,14.00
        lawn & garden,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,3.00,3.00,4.00,4.00,5.00,5.00,5.00,6.00,6.00,7.00,7.00,8.00,8.00,7.00,8.00,8.00,8.00
        farm,,19.00,23.00,26.00,29.00,33.00,36.00,40.00,43.00,46.00,50.00,53.00,56.00,60.00,63.00,67.00,70.00,72.00,77.00,75.00,77.00,79.00,79.00,79.00,79.00,79.00,79.00,79.00,77.00,75.00,78.00,70.00,66.00,63.00
        light commercial,,0.00,0.00,0.00,1.00,1.00,1.00,2.00,2.00,3.00,4.00,4.00,5.00,5.00,6.00,7.00,7.00,8.00,9.00,9.00,10.00,10.00,11.00,11.00,12.00,12.00,13.00,13.00,13.00,14.00,14.00,14.00,14.00,14.00
        logging,,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,1.00
        airport service,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00
        railway maintenance,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
        recreational marine vessels,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Aircraft,OFF-HIGHWAY (Tier 1 - 12)_Aircraft,56.00,55.00,54.00,53.00,52.00,51.00,54.00,58.00,61.00,57.00,53.00,49.00,45.00,41.00,38.00,34.00,30.00,26.00,27.00,29.00,30.00,31.00,31.00,31.00,31.00,31.00,31.00,35.00,38.00,44.00,27.00,21.00,21.00
Marine Vessels,OFF-HIGHWAY (Tier 1 - 12)_Marine Vessels,30.00,30.00,30.00,30.00,30.00,31.00,30.00,29.00,29.00,29.00,30.00,30.00,31.00,31.00,32.00,33.00,33.00,34.00,33.00,32.00,31.00,32.00,32.00,32.00,32.00,33.00,33.00,32.00,31.00,30.00,32.00,32.00,32.00
        diesel,, , , , , , , , ,23.00,23.00,23.00,24.00,24.00,25.00,25.00,26.00,26.00,27.00,26.00,25.00,31.00,25.00,25.00,26.00,26.00,26.00,33.00,32.00,31.00,30.00,32.00,32.00,32.00
        residual oil,, , , , , , , , ,6.00,6.00,6.00,6.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00, ,7.00,7.00,7.00,7.00,7.00, , , ,0.00, , , 
        other,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.00, , , 
Railroads,OFF-HIGHWAY (Tier 1 - 12)_Railroads,45.00,45.00,44.00,44.00,44.00,44.00,46.00,48.00,50.00,48.00,46.00,44.00,43.00,41.00,39.00,37.00,36.00,34.00,35.00,36.00,37.00,38.00,38.00,39.00,40.00,40.00,41.00,39.00,36.00,39.00,39.00,39.00,35.00
Other,OFF-HIGHWAY (Tier 1 - 12)_Other,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,71.00
        liquified petroleum gas,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00
        compressed natural gas,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00
MISCELLANEOUS (Tier 0 - 04),MISCELLANEOUS (Tier 0 - 04),1101.00,1293.00,974.00,827.00,963.00,716.00,1053.00,867.00,846.00,969.00,1134.00,961.00,732.00,1162.00,951.00,566.00,547.00,655.00,1230.00,642.00,1059.00,756.00,486.00,556.00,720.00,551.00,1939.00,815.00,717.00,790.00,732.00,531.00,882.00
MISCELLANEOUS (Tier 1 - 14),MISCELLANEOUS (Tier 1 - 14),1101.00,1293.00,974.00,827.00,963.00,716.00,1053.00,867.00,846.00,969.00,1134.00,961.00,732.00,1162.00,951.00,566.00,547.00,655.00,1230.00,642.00,1059.00,756.00,486.00,556.00,720.00,551.00,1939.00,815.00,717.00,790.00,732.00,531.00,882.00
Agriculture & Forestry,MISCELLANEOUS (Tier 1 - 14)_Agriculture & Forestry, , , , , , , , , , , , , , , , , , , , ,6.00,6.00,6.00,6.00,6.00,7.00,8.00,8.00,8.00,8.00,1.00,1.00,1.00
Other Combustion,MISCELLANEOUS (Tier 1 - 14)_Other Combustion,1101.00,1293.00,974.00,827.00,963.00,716.00,1053.00,867.00,846.00,969.00,1134.00,961.00,732.00,1162.00,951.00,565.00,547.00,655.00,1230.00,641.00,1048.00,743.00,474.00,544.00,707.00,537.00,1926.00,801.00,703.00,776.00,725.00,525.00,879.00
        structural fires,,19.00,38.00,39.00,41.00,48.00,47.00,36.00,41.00,40.00,39.00,40.00,38.00,35.00,36.00,36.00,44.00,44.00,44.00,44.00,44.00,14.00,14.00,15.00,15.00,15.00,15.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00
        agricultural fires,,131.00,213.00,132.00,102.00,85.00,75.00,72.00,71.00,70.00,70.00,70.00,70.00,68.00,68.00,68.00,55.00,61.00,67.00,85.00,79.00,48.00,48.00,49.00,48.00,51.00,54.00,51.00,52.00,52.00,103.00,105.00,107.00,89.00
        slash/prescribed burning,,147.00,292.00,292.00,291.00,290.00,290.00,289.00,289.00,288.00,287.00,285.00,285.00,285.00,285.00,285.00,182.00,182.00,182.00,182.00,182.00,182.00,239.00,243.00,266.00,259.00,293.00,99.00,146.00,220.00,220.00,56.00,74.00,130.00
        forest wildfires,,770.00,695.00,470.00,365.00,527.00,297.00,652.00,464.00,446.00,573.00,739.00,568.00,342.00,772.00,561.00,283.00,259.00,361.00,918.00,335.00,749.00,439.00,164.00,212.00,379.00,171.00,1706.00,533.00,360.00,379.00,491.00,270.00,587.00
        other,,34.00,54.00,41.00,27.00,14.00,7.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, , , , , ,2.00,3.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Catastrophic/Accidental Releases,, , , , , , , , , , , , , , , , , , , , ,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,4.00,4.00,4.00,1.00
Health Services,, , , , , , , , , , , , , , , ,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Cooling Towers,, , , , , , , , , , , , , , , , , , , , , ,2.00,2.00,1.00,2.00,2.00, , , , , , , 
Fugitive Dust,MISCELLANEOUS (Tier 1 - 14)_Fugitive Dust, , , , , , , , , , , , , , , , , , , , , ,0.00,0.00,0.00,0.00,0.00, , , ,0.00, , , 
Other,MISCELLANEOUS (Tier 1 - 14)_Other, , , , , , , , , , , , , , , , , , , , ,0.00, , , , , ,1.00,1.00,1.00,0.00,0.00,0.00,0.00
        Other,, , , , , , , , , , , , , , , , , , , , ,0.00, , , , , ,1.00,1.00,1.00,0.00,0.00,0.00,0.00
