Food Demand,,,,,,,,,,,,,,,
Energy-final-demand drivers,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
,,,base-service,,,2020 fillout,2020 fillout,,,,,,,,
Former Soviet Union,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,53726609,8281120,1,1,1,1,1,1,1,1,1
China,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,20276747,7217924,1,1,1,1,1,1,1,1,1
Middle East,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,9916019,8722235,1,1,1,1,1,1,1,1,1
Africa,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,29432735,63177372,1,1,1,1,1,1,1,1,1
Latin America,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,11146357,20067063,1,1,1,1,1,1,1,1,1
Southeast Asia,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,1665800,907934,1,1,1,1,1,1,1,1,1
Eastern Europe,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,24510812,10851925,1,1,1,1,1,1,1,1,1
Korea,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,684191,204142,1,1,1,1,1,1,1,1,1
India,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,OtherGrain,32352261,2421874,1,1,1,1,1,1,1,1,1
USA,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,3442771,1211221,1,1,1,1,1,1,1,1,1
Canada,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,101338,388220,1,1,1,1,1,1,1,1,1
Western Europe,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,600088,651512,1,1,1,1,1,1,1,1,1
Japan,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,10,3587391,1,1,1,1,1,1,1,1,1
Australia_NZ,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,368078,10,1,1,1,1,1,1,1,1,1
Former Soviet Union,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,277586,136113,1,1,1,1,1,1,1,1,1
China,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,73730657,124034481,1,1,1,1,1,1,1,1,1
Middle East,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,1371343,10,1,1,1,1,1,1,1,1,1
Africa,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,4308967,11078348,1,1,1,1,1,1,1,1,1
Latin America,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,10,12853093,1,1,1,1,1,1,1,1,1
Southeast Asia,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,43763779,90645226,1,1,1,1,1,1,1,1,1
Eastern Europe,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,250346,10,1,1,1,1,1,1,1,1,1
Korea,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,2323440,454599,1,1,1,1,1,1,1,1,1
India,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,Rice,28126316,10,1,1,1,1,1,1,1,1,1
USA,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,14198749,23323856,1,1,1,1,1,1,1,1,1
Canada,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,1397906,1437286,1,1,1,1,1,1,1,1,1
Western Europe,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,28401500,22639817,1,1,1,1,1,1,1,1,1
Japan,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,7234576,1619179,1,1,1,1,1,1,1,1,1
Australia_NZ,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,9563245,27630952,1,1,1,1,1,1,1,1,1
Former Soviet Union,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,343706,10200831,1,1,1,1,1,1,1,1,1
China,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,21161427,19165665,1,1,1,1,1,1,1,1,1
Middle East,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,636128,13458463,1,1,1,1,1,1,1,1,1
Africa,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,28170323,50470261,1,1,1,1,1,1,1,1,1
Latin America,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,658078160,581729040,1,1,1,1,1,1,1,1,1
Southeast Asia,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,44659717,56470891,1,1,1,1,1,1,1,1,1
Eastern Europe,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,8039183,10,1,1,1,1,1,1,1,1,1
Korea,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,10,7015207,1,1,1,1,1,1,1,1,1
India,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,SugarCrop,59554721,45593904,1,1,1,1,1,1,1,1,1
USA,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,63083493,7554037,1,1,1,1,1,1,1,1,1
Canada,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,28107660,19658489,1,1,1,1,1,1,1,1,1
Western Europe,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,100227383,86508532,1,1,1,1,1,1,1,1,1
Japan,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,2303530,1513113,1,1,1,1,1,1,1,1,1
Australia_NZ,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,11739985,25379725,1,1,1,1,1,1,1,1,1
Former Soviet Union,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,36929922,31096439,1,1,1,1,1,1,1,1,1
China,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,82157678,97161116,1,1,1,1,1,1,1,1,1
Middle East,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,14285733,11582334,1,1,1,1,1,1,1,1,1
Africa,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,14757108,48854219,1,1,1,1,1,1,1,1,1
Latin America,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,18248595,11605367,1,1,1,1,1,1,1,1,1
Southeast Asia,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,11742915,26610302,1,1,1,1,1,1,1,1,1
Eastern Europe,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,30583661,24831217,1,1,1,1,1,1,1,1,1
Korea,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,10,356653,1,1,1,1,1,1,1,1,1
India,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,Wheat,8289338,10,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Calibrated demands: other net use demands,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
5000,,,,,,,,,,,,,,,
,,,,,calibrated-value,calibrated-value,share-weight,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,1975,1990,2005,2020,2035,2050,2065,2080,2095
USA,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,3375000000,5201000000,1,1,1,1,1,1,1,1,1
Canada,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,10,10,1,1,1,1,1,1,1,1,1
Western Europe,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,1073939000,1134270000,1,1,1,1,1,1,1,1,1
Japan,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,10,10,1,1,1,1,1,1,1,1,1
Australia_NZ,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,305300000,645100000,1,1,1,1,1,1,1,1,1
Former Soviet Union,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,2838000000,1990074000,1,1,1,1,1,1,1,1,1
China,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,5542705300,6551993000,1,1,1,1,1,1,1,1,1
Middle East,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,341020000,152390000,1,1,1,1,1,1,1,1,1
Africa,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,1461030860,2009933000,1,1,1,1,1,1,1,1,1
Latin America,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,2008541000,749740000,1,1,1,1,1,1,1,1,1
Southeast Asia,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,2827438190,3204014000,1,1,1,1,1,1,1,1,1
Eastern Europe,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,10,10,1,1,1,1,1,1,1,1,1
Korea,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,10,10,1,1,1,1,1,1,1,1,1
India,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,FiberCrop,3375300000,5283200000,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Non-energy input cost,,,,,,,,,,,,,,,
table not necessary,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5002,,,,,,,,,,,,,,,
,,,,input-cost,,,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,
ALL,CornDemand,CornDemand,CornDemand,0,0,0,0,0,0,0,0,0,,,
ALL,MiscCropDemand,MiscCropDemand,MiscCropDemand,0,0,0,0,0,0,0,0,0,,,
ALL,OilCropDemand,OilCropDemand,OilCropDemand,0,0,0,0,0,0,0,0,0,,,
ALL,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,0,0,0,0,0,0,0,0,0,,,
ALL,RiceDemand,RiceDemand,RiceDemand,0,0,0,0,0,0,0,0,0,,,
ALL,SugarCropDemand,SugarCropDemand,SugarCropDemand,0,0,0,0,0,0,0,0,0,,,
ALL,WheatDemand,WheatDemand,WheatDemand,0,0,0,0,0,0,0,0,0,,,
ALL,CornDemand,CornNonFoodDemand,CornNonFoodDemand,0,0,0,0,0,0,0,0,0,,,
ALL,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,0,0,0,0,0,0,0,0,0,,,
ALL,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,0,0,0,0,0,0,0,0,0,,,
ALL,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,0,0,0,0,0,0,0,0,0,,,
ALL,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,0,0,0,0,0,0,0,0,0,,,
ALL,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,0,0,0,0,0,0,0,0,0,,,
ALL,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,0,0,0,0,0,0,0,0,0,,,
ALL,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
add CO2 tag,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
5010,,,,,,,,,,,,,,,
,,,,CO2,,,,,,,,,,,
region,supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,
ALL,CornDemand,CornDemand,CornDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,MiscCropDemand,MiscCropDemand,MiscCropDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,OilCropDemand,OilCropDemand,OilCropDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,OtherGrainDemand,OtherGrainDemand,OtherGrainDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,RiceDemand,RiceDemand,RiceDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,SugarCropDemand,SugarCropDemand,SugarCropDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,WheatDemand,WheatDemand,WheatDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,CornDemand,CornNonFoodDemand,CornNonFoodDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,MiscCropDemand,MiscCropNonFoodDemand,MiscCropNonFoodDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,OilCropDemand,OilCropNonFoodDemand,OilCropNonFoodDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,OtherGrainDemand,OtherGrainNonFoodDemand,OtherGrainNonFoodDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,RiceDemand,RiceNonFoodDemand,RiceNonFoodDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,SugarCropDemand,SugarCropNonFoodDemand,SugarCropNonFoodDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,WheatDemand,WheatNonFoodDemand,WheatNonFoodDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
ALL,FiberCropDemand,FiberCropNonFoodDemand,FiberCropNonFoodDemand,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,CO2,,,
