Sector 31: Annual Survey of Manufactures: Geographic Area Statistics: Statistics for All Manufacturing by State: 2009 and 2008,,,,
"NOTE: For information on confidentiality protection, sampling error, nonsampling error, and definitions, see Survey Methodology.  For information on the ASM industry groupings, see Comparability. Data in this table represent those available when this report was created. Data may not be available for all NAICS industries or geographies. Detail items may not add to total due to independent rounding.
",,,,
Geographic Area Name,NAICS-based code,Meaning of NAICS-based code,Year,"Total value of shipments ($1,000)"
Kentucky,3118,Bakeries & tortilla mfg,2008,"1,235,268"
Kentucky,3119,Other food mfg,2008,"1,328,721"
Kentucky,312,Beverage & tobacco product mfg,2008,"3,606,548"
Kentucky,3121,Beverage mfg,2008,D
Kentucky,313,Textile mills,2008,D
Kentucky,3132,Fabric mills,2008,D
Kentucky,314,Textile product mills,2008,D
Kentucky,315,Apparel mfg,2008,D
Kentucky,3152,Cut & sew apparel mfg,2008,D
Kentucky,321,Wood product mfg,2008,"1,798,428"
Kentucky,3211,Sawmills & wood preservation,2008,"517,076"
Kentucky,3219,Other wood product mfg,2008,"1,110,579"
Kentucky,322,Paper mfg,2008,"4,933,360"
Kentucky,3221,"Pulp, paper, & paperboard mills",2008,"1,707,524"
Kentucky,3222,Converted paper product mfg,2008,"3,225,836"
Kentucky,323,Printing & related support activities,2008,"2,048,816"
Kentucky,3231,Printing & related support activities,2008,"2,048,816"
Kentucky,324,Petroleum & coal products mfg,2008,D
Kentucky,3241,Petroleum & coal products mfg,2008,D
Kentucky,325,Chemical mfg,2008,"12,422,095"
Kentucky,3251,Basic chemical mfg,2008,"5,963,699"
Kentucky,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"3,486,835"
Kentucky,3255,"Paint, coating, & adhesive mfg",2008,"1,219,838"
Kentucky,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"950,661"
Kentucky,3259,Other chemical product & preparation mfg,2008,"546,455"
Kentucky,326,Plastics & rubber products mfg,2008,"4,864,714"
Kentucky,3261,Plastics product mfg,2008,"4,485,971"
Kentucky,3262,Rubber product mfg,2008,"378,743"
Kentucky,327,Nonmetallic mineral product mfg,2008,"2,365,192"
Kentucky,3272,Glass & glass product mfg,2008,"1,053,134"
Kentucky,3273,Cement & concrete product mfg,2008,"571,229"
Kentucky,3279,Other nonmetallic mineral product mfg,2008,"201,014"
Kentucky,331,Primary metal mfg,2008,"13,736,860"
Kentucky,3311,Iron & steel mills & ferroalloy mfg,2008,"6,394,647"
Kentucky,3313,Alumina & aluminum production & processing,2008,"5,305,061"
Kentucky,3315,Foundries,2008,"409,985"
Kentucky,332,Fabricated metal product mfg,2008,"5,544,250"
Kentucky,3321,Forging & stamping,2008,"745,791"
Kentucky,3323,Architectural & structural metals mfg,2008,"1,124,453"
Kentucky,3324,"Boiler, tank, & shipping container mfg",2008,"426,443"
Kentucky,3326,Spring & wire product mfg,2008,"869,724"
Kentucky,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"791,636"
Kentucky,3328,"Coating, engraving, heat treating, & allied activities",2008,"159,612"
Kentucky,3329,Other fabricated metal product mfg,2008,"1,005,456"
Kentucky,333,Machinery mfg,2008,"5,795,099"
Kentucky,3331,"Agriculture, construction, & mining machinery mfg",2008,"933,560"
Kentucky,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"870,205"
Kentucky,3335,Metalworking machinery mfg,2008,"1,090,553"
Kentucky,3336,"Engine, turbine, & power transmission equipment mfg",2008,"495,168"
Kentucky,3339,Other general purpose machinery mfg,2008,"2,092,273"
Kentucky,334,Computer & electronic product mfg,2008,D
Kentucky,3344,Semiconductor & other electronic component mfg,2008,D
Kentucky,335,"Electrical equipment, appliance, & component mfg",2008,"3,216,175"
Kentucky,3352,Household appliance mfg,2008,D
Kentucky,3353,Electrical equipment mfg,2008,"709,261"
Kentucky,3359,Other electrical equipment & component mfg,2008,"1,179,491"
Kentucky,336,Transportation equipment mfg,2008,"30,007,941"
Kentucky,3361,Motor vehicle mfg,2008,"18,036,453"
Kentucky,3362,Motor vehicle body & trailer mfg,2008,"285,743"
Kentucky,3363,Motor vehicle parts mfg,2008,"10,357,124"
Kentucky,3364,Aerospace product & parts mfg,2008,"920,221"
Kentucky,3366,Ship & boat building,2008,"152,954"
Kentucky,337,Furniture & related product mfg,2008,"673,698"
Kentucky,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"355,159"
Kentucky,3372,Office furniture (including fixtures) mfg,2008,D
Kentucky,339,Miscellaneous mfg,2008,"1,158,063"
Kentucky,3391,Medical equipment & supplies mfg,2008,"308,285"
Kentucky,3399,Other miscellaneous mfg,2008,"849,779"
Louisiana,31-33,Manufacturing,2008,"227,977,824"
Louisiana,311,Food mfg,2008,"7,285,365"
Louisiana,3113,Sugar & confectionery product mfg,2008,"1,257,058"
Louisiana,3116,Animal  slaughtering & processing,2008,"1,119,739"
Louisiana,3118,Bakeries & tortilla mfg,2008,"326,189"
Louisiana,3119,Other food mfg,2008,"1,959,203"
Louisiana,312,Beverage & tobacco product mfg,2008,"659,339"
Louisiana,3121,Beverage mfg,2008,"659,339"
Louisiana,321,Wood product mfg,2008,"1,825,063"
Louisiana,3211,Sawmills & wood preservation,2008,"576,469"
Louisiana,3212,"Veneer, plywood, & engineered wood product mfg",2008,"1,087,018"
Louisiana,3219,Other wood product mfg,2008,"161,575"
Louisiana,322,Paper mfg,2008,"5,442,480"
Louisiana,3221,"Pulp, paper, & paperboard mills",2008,"4,402,103"
Louisiana,3222,Converted paper product mfg,2008,"1,040,377"
Louisiana,323,Printing & related support activities,2008,"414,421"
Louisiana,3231,Printing & related support activities,2008,"414,421"
Louisiana,324,Petroleum & coal products mfg,2008,"129,208,248"
Louisiana,3241,Petroleum & coal products mfg,2008,"129,208,248"
Louisiana,325,Chemical mfg,2008,"61,674,917"
Louisiana,3251,Basic chemical mfg,2008,"39,399,648"
Louisiana,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"7,769,150"
Louisiana,3253,"Pesticide, fertilizer, & other agricultural chemical mfg",2008,"7,123,858"
Louisiana,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,D
Louisiana,3259,Other chemical product & preparation mfg,2008,"745,693"
Louisiana,326,Plastics & rubber products mfg,2008,"1,339,443"
Louisiana,3261,Plastics product mfg,2008,"1,008,870"
Louisiana,3262,Rubber product mfg,2008,"330,573"
Louisiana,327,Nonmetallic mineral product mfg,2008,"1,148,054"
Louisiana,3272,Glass & glass product mfg,2008,"251,335"
Louisiana,3273,Cement & concrete product mfg,2008,"664,726"
Louisiana,331,Primary metal mfg,2008,"1,424,186"
Louisiana,332,Fabricated metal product mfg,2008,"5,778,942"
Louisiana,3323,Architectural & structural metals mfg,2008,"1,763,058"
Louisiana,3324,"Boiler, tank, & shipping container mfg",2008,"589,717"
Louisiana,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"1,071,557"
Louisiana,3328,"Coating, engraving, heat treating, & allied activities",2008,"509,644"
Louisiana,3329,Other fabricated metal product mfg,2008,"1,685,126"
Louisiana,333,Machinery mfg,2008,"3,076,120"
Louisiana,3331,"Agriculture, construction, & mining machinery mfg",2008,"1,644,828"
Louisiana,3333,Commercial & service industry machinery mfg,2008,"315,554"
Louisiana,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"453,399"
Louisiana,3339,Other general purpose machinery mfg,2008,"395,356"
Louisiana,334,Computer & electronic product mfg,2008,"402,798"
Louisiana,335,"Electrical equipment, appliance, & component mfg",2008,"472,029"
Louisiana,3353,Electrical equipment mfg,2008,"284,495"
Louisiana,336,Transportation equipment mfg,2008,"6,679,350"
Louisiana,3361,Motor vehicle mfg,2008,D
Louisiana,3363,Motor vehicle parts mfg,2008,"272,791"
Louisiana,3364,Aerospace product & parts mfg,2008,D
Louisiana,3366,Ship & boat building,2008,"2,685,261"
Louisiana,337,Furniture & related product mfg,2008,"224,463"
Louisiana,339,Miscellaneous mfg,2008,"663,789"
Louisiana,3399,Other miscellaneous mfg,2008,"593,717"
Maine,31-33,Manufacturing,2008,"17,190,512"
Maine,311,Food mfg,2008,"1,764,527"
Maine,3114,Fruit & vegetable preserving & specialty food mfg,2008,"628,322"
Maine,3118,Bakeries & tortilla mfg,2008,"432,205"
Maine,312,Beverage & tobacco product mfg,2008,"1,069,935"
Maine,3121,Beverage mfg,2008,"1,069,935"
Maine,316,Leather & allied product mfg,2008,"407,299"
Maine,3162,Footwear mfg,2008,D
Maine,321,Wood product mfg,2008,"1,099,883"
Maine,3211,Sawmills & wood preservation,2008,"553,536"
Maine,3219,Other wood product mfg,2008,"360,521"
Maine,322,Paper mfg,2008,"4,490,647"
Maine,3221,"Pulp, paper, & paperboard mills",2008,"3,769,962"
Maine,3222,Converted paper product mfg,2008,"720,685"
Maine,323,Printing & related support activities,2008,"347,151"
Maine,3231,Printing & related support activities,2008,"347,151"
Maine,325,Chemical mfg,2008,"517,303"
Maine,326,Plastics & rubber products mfg,2008,"664,376"
Maine,3261,Plastics product mfg,2008,"612,334"
Maine,327,Nonmetallic mineral product mfg,2008,"237,375"
Maine,332,Fabricated metal product mfg,2008,"1,353,098"
Maine,3323,Architectural & structural metals mfg,2008,"370,755"
Maine,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"435,886"
Maine,3329,Other fabricated metal product mfg,2008,"403,212"
Maine,333,Machinery mfg,2008,"495,318"
Maine,3339,Other general purpose machinery mfg,2008,"191,286"
Maine,334,Computer & electronic product mfg,2008,"835,698"
Maine,3342,Communications equipment mfg,2008,D
Maine,3344,Semiconductor & other electronic component mfg,2008,"355,167"
Maine,336,Transportation equipment mfg,2008,"2,643,510"
Maine,3364,Aerospace product & parts mfg,2008,D
Maine,3366,Ship & boat building,2008,"1,551,441"
Maine,339,Miscellaneous mfg,2008,"343,110"
Maryland,31-33,Manufacturing,2008,"40,568,388"
Maryland,311,Food mfg,2008,"6,890,804"
Maryland,3115,Dairy product mfg,2008,"1,015,154"
Maryland,3116,Animal  slaughtering & processing,2008,"777,841"
Maryland,3118,Bakeries & tortilla mfg,2008,"640,394"
Maryland,3119,Other food mfg,2008,"2,236,812"
Maryland,312,Beverage & tobacco product mfg,2008,"1,562,904"
Maryland,3121,Beverage mfg,2008,"1,562,904"
Maryland,313,Textile mills,2008,"390,590"
Maryland,3132,Fabric mills,2008,"365,213"
Maryland,321,Wood product mfg,2008,"589,341"
Maryland,3219,Other wood product mfg,2008,"371,699"
Maryland,322,Paper mfg,2008,"1,063,471"
Maryland,3221,"Pulp, paper, & paperboard mills",2008,"320,594"
Maryland,3222,Converted paper product mfg,2008,"742,877"
Maryland,323,Printing & related support activities,2008,"2,119,623"
Maryland,3231,Printing & related support activities,2008,"2,119,623"
Maryland,325,Chemical mfg,2008,"5,810,800"
Maryland,3251,Basic chemical mfg,2008,"973,694"
Maryland,3254,Pharmaceutical & medicine mfg,2008,"1,646,528"
Maryland,3255,"Paint, coating, & adhesive mfg",2008,"846,896"
Maryland,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"1,886,390"
Maryland,326,Plastics & rubber products mfg,2008,"1,507,376"
Maryland,3261,Plastics product mfg,2008,"1,378,918"
Maryland,327,Nonmetallic mineral product mfg,2008,"1,498,852"
Maryland,3273,Cement & concrete product mfg,2008,"909,779"
Maryland,331,Primary metal mfg,2008,"875,621"
Maryland,3311,Iron & steel mills & ferroalloy mfg,2008,D
Maryland,332,Fabricated metal product mfg,2008,"3,004,384"
Maryland,3323,Architectural & structural metals mfg,2008,"906,340"
Maryland,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"458,919"
Maryland,3329,Other fabricated metal product mfg,2008,"883,919"
Maryland,333,Machinery mfg,2008,"2,747,948"
Maryland,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"702,355"
Maryland,3336,"Engine, turbine, & power transmission equipment mfg",2008,D
Maryland,3339,Other general purpose machinery mfg,2008,"558,813"
Maryland,334,Computer & electronic product mfg,2008,"8,106,069"
Maryland,3342,Communications equipment mfg,2008,"2,017,212"
Maryland,3344,Semiconductor & other electronic component mfg,2008,"850,361"
Maryland,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"4,868,818"
Maryland,335,"Electrical equipment, appliance, & component mfg",2008,"450,110"
Maryland,336,Transportation equipment mfg,2008,"1,305,267"
Maryland,3364,Aerospace product & parts mfg,2008,"700,369"
Maryland,337,Furniture & related product mfg,2008,"756,253"
Maryland,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"266,573"
Maryland,3372,Office furniture (including fixtures) mfg,2008,"210,305"
Maryland,3379,Other furniture related product mfg,2008,"279,375"
Maryland,339,Miscellaneous mfg,2008,"936,363"
Maryland,3391,Medical equipment & supplies mfg,2008,"521,455"
Maryland,3399,Other miscellaneous mfg,2008,"414,908"
Massachusetts,31-33,Manufacturing,2008,"83,712,924"
Massachusetts,311,Food mfg,2008,"6,562,151"
Massachusetts,3113,Sugar & confectionery product mfg,2008,"268,898"
Massachusetts,3114,Fruit & vegetable preserving & specialty food mfg,2008,"383,963"
Massachusetts,3115,Dairy product mfg,2008,"1,544,776"
Massachusetts,3116,Animal  slaughtering & processing,2008,"676,308"
Massachusetts,3117,Seafood product preparation & packaging,2008,"1,185,234"
Massachusetts,3118,Bakeries & tortilla mfg,2008,"1,150,778"
Massachusetts,3119,Other food mfg,2008,"1,184,633"
Massachusetts,312,Beverage & tobacco product mfg,2008,"998,687"
Massachusetts,3121,Beverage mfg,2008,"998,687"
Massachusetts,313,Textile mills,2008,"849,729"
Massachusetts,3133,Textile & fabric finishing & fabric coating mills,2008,"634,348"
Massachusetts,314,Textile product mills,2008,"323,190"
Massachusetts,315,Apparel mfg,2008,"269,865"
Massachusetts,3152,Cut & sew apparel mfg,2008,"204,378"
Massachusetts,316,Leather & allied product mfg,2008,"233,506"
Massachusetts,321,Wood product mfg,2008,"537,550"
Massachusetts,3219,Other wood product mfg,2008,"394,218"
Massachusetts,322,Paper mfg,2008,"3,257,158"
Massachusetts,3221,"Pulp, paper, & paperboard mills",2008,"750,155"
Massachusetts,3222,Converted paper product mfg,2008,"2,507,003"
Massachusetts,323,Printing & related support activities,2008,"2,469,795"
Massachusetts,3231,Printing & related support activities,2008,"2,469,795"
Massachusetts,325,Chemical mfg,2008,"10,450,641"
Massachusetts,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"779,872"
Massachusetts,3254,Pharmaceutical & medicine mfg,2008,"6,273,643"
Massachusetts,3255,"Paint, coating, & adhesive mfg",2008,"625,421"
Massachusetts,3259,Other chemical product & preparation mfg,2008,"1,507,644"
Massachusetts,326,Plastics & rubber products mfg,2008,"4,096,908"
Massachusetts,3261,Plastics product mfg,2008,"3,816,495"
Massachusetts,327,Nonmetallic mineral product mfg,2008,"1,365,192"
Massachusetts,3272,Glass & glass product mfg,2008,"198,692"
Massachusetts,3273,Cement & concrete product mfg,2008,"504,019"
Massachusetts,3279,Other nonmetallic mineral product mfg,2008,"490,254"
Massachusetts,331,Primary metal mfg,2008,"1,433,268"
Massachusetts,3314,Nonferrous metal (except aluminum) production & processing,2008,"742,081"
Massachusetts,332,Fabricated metal product mfg,2008,"7,241,660"
Massachusetts,3321,Forging & stamping,2008,"1,000,839"
Massachusetts,3322,Cutlery & handtool mfg,2008,"845,022"
Massachusetts,3323,Architectural & structural metals mfg,2008,"1,152,186"
Massachusetts,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"1,864,420"
Massachusetts,3328,"Coating, engraving, heat treating, & allied activities",2008,"542,323"
Massachusetts,3329,Other fabricated metal product mfg,2008,"1,476,522"
Massachusetts,333,Machinery mfg,2008,"5,271,343"
Massachusetts,3332,Industrial machinery mfg,2008,"2,206,218"
Massachusetts,3333,Commercial & service industry machinery mfg,2008,"719,739"
Massachusetts,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"366,829"
Massachusetts,3335,Metalworking machinery mfg,2008,"880,661"
Massachusetts,3336,"Engine, turbine, & power transmission equipment mfg",2008,"371,686"
Massachusetts,3339,Other general purpose machinery mfg,2008,"687,785"
Massachusetts,334,Computer & electronic product mfg,2008,"24,140,298"
Massachusetts,3341,Computer & peripheral equipment mfg,2008,"3,703,781"
Massachusetts,3342,Communications equipment mfg,2008,"2,079,319"
Massachusetts,3344,Semiconductor & other electronic component mfg,2008,"5,617,655"
Massachusetts,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"12,038,627"
Massachusetts,335,"Electrical equipment, appliance, & component mfg",2008,"3,196,265"
Massachusetts,3351,Electric lighting equipment mfg,2008,D
Massachusetts,3353,Electrical equipment mfg,2008,"715,665"
Massachusetts,3359,Other electrical equipment & component mfg,2008,"1,913,459"
Massachusetts,336,Transportation equipment mfg,2008,"2,321,869"
Massachusetts,3363,Motor vehicle parts mfg,2008,"767,021"
Massachusetts,3364,Aerospace product & parts mfg,2008,"1,179,487"
Massachusetts,337,Furniture & related product mfg,2008,"1,021,737"
Massachusetts,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"400,178"
Massachusetts,3372,Office furniture (including fixtures) mfg,2008,"438,167"
Massachusetts,339,Miscellaneous mfg,2008,"6,999,103"
Massachusetts,3391,Medical equipment & supplies mfg,2008,"3,585,448"
Massachusetts,3399,Other miscellaneous mfg,2008,"3,413,655"
Michigan,31-33,Manufacturing,2008,"210,197,251"
Michigan,311,Food mfg,2008,"14,173,388"
Michigan,3112,Grain & oilseed milling,2008,"1,999,820"
Michigan,3113,Sugar & confectionery product mfg,2008,"749,850"
Michigan,3114,Fruit & vegetable preserving & specialty food mfg,2008,"1,425,088"
Michigan,3115,Dairy product mfg,2008,"4,833,433"
Michigan,3116,Animal  slaughtering & processing,2008,"2,163,614"
Michigan,3118,Bakeries & tortilla mfg,2008,"1,739,213"
Michigan,3119,Other food mfg,2008,"993,223"
Michigan,312,Beverage & tobacco product mfg,2008,"2,649,854"
Michigan,3121,Beverage mfg,2008,"2,649,854"
Michigan,314,Textile product mills,2008,"263,835"
Michigan,321,Wood product mfg,2008,"2,027,201"
Michigan,3211,Sawmills & wood preservation,2008,"(s)429,099"
Michigan,3212,"Veneer, plywood, & engineered wood product mfg",2008,"638,360"
Michigan,3219,Other wood product mfg,2008,"959,742"
Michigan,322,Paper mfg,2008,"5,189,368"
Michigan,3221,"Pulp, paper, & paperboard mills",2008,"2,800,062"
Michigan,3222,Converted paper product mfg,2008,"2,389,306"
Michigan,323,Printing & related support activities,2008,"2,677,558"
Michigan,3231,Printing & related support activities,2008,"2,677,558"
Michigan,324,Petroleum & coal products mfg,2008,"4,821,108"
Michigan,3241,Petroleum & coal products mfg,2008,"4,821,108"
Michigan,325,Chemical mfg,2008,"14,530,139"
Michigan,3251,Basic chemical mfg,2008,"2,962,317"
Michigan,3252,"Resin, syn rubber, & artificial syn fibers & filaments mfg",2008,"3,143,374"
Michigan,3254,Pharmaceutical & medicine mfg,2008,"4,340,691"
Michigan,3255,"Paint, coating, & adhesive mfg",2008,"1,478,930"
Michigan,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"1,043,168"
Michigan,3259,Other chemical product & preparation mfg,2008,"1,325,548"
Michigan,326,Plastics & rubber products mfg,2008,"9,531,488"
Michigan,3261,Plastics product mfg,2008,"8,599,677"
Michigan,3262,Rubber product mfg,2008,"931,812"
Michigan,327,Nonmetallic mineral product mfg,2008,"3,493,348"
Michigan,3272,Glass & glass product mfg,2008,"1,416,952"
Michigan,3273,Cement & concrete product mfg,2008,"1,303,695"
Michigan,3279,Other nonmetallic mineral product mfg,2008,"548,267"
Michigan,331,Primary metal mfg,2008,"12,442,381"
Michigan,3311,Iron & steel mills & ferroalloy mfg,2008,"5,118,891"
Michigan,3313,Alumina & aluminum production & processing,2008,"1,235,033"
Michigan,3314,Nonferrous metal (except aluminum) production & processing,2008,"2,883,448"
Michigan,3315,Foundries,2008,"2,596,697"
Michigan,332,Fabricated metal product mfg,2008,"15,712,809"
Michigan,3321,Forging & stamping,2008,"1,802,134"
Michigan,3322,Cutlery & handtool mfg,2008,"317,233"
Michigan,3323,Architectural & structural metals mfg,2008,"2,330,025"
Michigan,3325,Hardware mfg,2008,"605,440"
Michigan,3326,Spring & wire product mfg,2008,"493,005"
Michigan,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"4,975,557"
Michigan,3328,"Coating, engraving, heat treating, & allied activities",2008,"1,904,894"
Michigan,3329,Other fabricated metal product mfg,2008,"3,109,442"
Michigan,333,Machinery mfg,2008,"17,995,358"
Michigan,3331,"Agriculture, construction, & mining machinery mfg",2008,"883,242"
Michigan,3332,Industrial machinery mfg,2008,"1,511,541"
Michigan,3333,Commercial & service industry machinery mfg,2008,"509,931"
Michigan,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"698,131"
Michigan,3335,Metalworking machinery mfg,2008,"5,807,632"
Michigan,3336,"Engine, turbine, & power transmission equipment mfg",2008,"3,395,559"
Michigan,3339,Other general purpose machinery mfg,2008,"5,189,323"
Michigan,334,Computer & electronic product mfg,2008,"4,477,671"
Michigan,3342,Communications equipment mfg,2008,"304,670"
Michigan,3344,Semiconductor & other electronic component mfg,2008,"888,905"
Michigan,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"2,957,594"
Michigan,335,"Electrical equipment, appliance, & component mfg",2008,"2,820,633"
Michigan,3352,Household appliance mfg,2008,"729,446"
Michigan,3353,Electrical equipment mfg,2008,"1,007,870"
Michigan,3359,Other electrical equipment & component mfg,2008,"981,908"
Michigan,336,Transportation equipment mfg,2008,"87,012,872"
Michigan,3361,Motor vehicle mfg,2008,"45,625,874"
Michigan,3362,Motor vehicle body & trailer mfg,2008,"521,000"
Michigan,3363,Motor vehicle parts mfg,2008,"37,790,635"
Michigan,3364,Aerospace product & parts mfg,2008,"1,120,149"
Michigan,3366,Ship & boat building,2008,"434,146"
Michigan,3369,Other transportation equipment mfg,2008,"1,436,962"
Michigan,337,Furniture & related product mfg,2008,"6,685,872"
Michigan,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"939,969"
Michigan,3372,Office furniture (including fixtures) mfg,2008,"5,665,269"
Michigan,339,Miscellaneous mfg,2008,"3,320,840"
Michigan,3391,Medical equipment & supplies mfg,2008,"2,065,503"
Michigan,3399,Other miscellaneous mfg,2008,"1,255,337"
Minnesota,31-33,Manufacturing,2008,"116,826,770"
Minnesota,311,Food mfg,2008,"25,053,955"
Minnesota,3111,Animal food mfg,2008,"1,307,955"
Minnesota,3112,Grain & oilseed milling,2008,"5,649,770"
Minnesota,3113,Sugar & confectionery product mfg,2008,"1,181,471"
Minnesota,3114,Fruit & vegetable preserving & specialty food mfg,2008,"1,539,679"
Minnesota,3115,Dairy product mfg,2008,"5,990,745"
Minnesota,3116,Animal  slaughtering & processing,2008,"6,109,703"
Minnesota,3118,Bakeries & tortilla mfg,2008,D
Minnesota,3119,Other food mfg,2008,"2,142,798"
Minnesota,312,Beverage & tobacco product mfg,2008,"787,623"
Minnesota,3121,Beverage mfg,2008,"787,623"
Minnesota,314,Textile product mills,2008,D
Minnesota,316,Leather & allied product mfg,2008,D
Minnesota,321,Wood product mfg,2008,"2,976,814"
Minnesota,3212,"Veneer, plywood, & engineered wood product mfg",2008,"410,544"
Minnesota,3219,Other wood product mfg,2008,"2,335,220"
Minnesota,322,Paper mfg,2008,"5,419,815"
Minnesota,3221,"Pulp, paper, & paperboard mills",2008,"2,223,896"
Minnesota,3222,Converted paper product mfg,2008,"3,195,919"
Minnesota,323,Printing & related support activities,2008,"4,966,637"
Minnesota,3231,Printing & related support activities,2008,"4,966,637"
Minnesota,324,Petroleum & coal products mfg,2008,D
Minnesota,3241,Petroleum & coal products mfg,2008,D
Minnesota,325,Chemical mfg,2008,"5,413,111"
Minnesota,3251,Basic chemical mfg,2008,"2,024,834"
Minnesota,3254,Pharmaceutical & medicine mfg,2008,"1,183,416"
Minnesota,3255,"Paint, coating, & adhesive mfg",2008,"605,639"
Minnesota,3256,"Soap, cleaning compound, & toilet preparation mfg",2008,"346,875"
Minnesota,3259,Other chemical product & preparation mfg,2008,"379,432"
Minnesota,326,Plastics & rubber products mfg,2008,"3,178,499"
Minnesota,3261,Plastics product mfg,2008,"2,943,090"
Minnesota,3262,Rubber product mfg,2008,"235,409"
Minnesota,327,Nonmetallic mineral product mfg,2008,"2,290,589"
Minnesota,3272,Glass & glass product mfg,2008,"518,959"
Minnesota,3273,Cement & concrete product mfg,2008,"963,422"
Minnesota,3279,Other nonmetallic mineral product mfg,2008,"783,900"
Minnesota,331,Primary metal mfg,2008,"2,058,947"
Minnesota,3315,Foundries,2008,"878,521"
Minnesota,332,Fabricated metal product mfg,2008,"10,158,937"
Minnesota,3321,Forging & stamping,2008,"1,821,552"
Minnesota,3322,Cutlery & handtool mfg,2008,"607,164"
Minnesota,3323,Architectural & structural metals mfg,2008,"1,326,173"
Minnesota,3324,"Boiler, tank, & shipping container mfg",2008,"812,079"
Minnesota,3325,Hardware mfg,2008,"337,257"
Minnesota,3326,Spring & wire product mfg,2008,"297,923"
Minnesota,3327,"Machine shops, turned product, & screw, nut, & bolt mfg",2008,"2,001,838"
Minnesota,3328,"Coating, engraving, heat treating, & allied activities",2008,"424,497"
Minnesota,3329,Other fabricated metal product mfg,2008,"2,530,454"
Minnesota,333,Machinery mfg,2008,"9,669,072"
Minnesota,3331,"Agriculture, construction, & mining machinery mfg",2008,"1,949,985"
Minnesota,3332,Industrial machinery mfg,2008,"931,025"
Minnesota,3333,Commercial & service industry machinery mfg,2008,"889,487"
Minnesota,3334,"Ventilation, heating, AC, & commercial refrigeration equip mfg",2008,"1,090,016"
Minnesota,3335,Metalworking machinery mfg,2008,"985,646"
Minnesota,3336,"Engine, turbine, & power transmission equipment mfg",2008,"426,005"
Minnesota,3339,Other general purpose machinery mfg,2008,"3,396,909"
Minnesota,334,Computer & electronic product mfg,2008,"11,156,722"
Minnesota,3341,Computer & peripheral equipment mfg,2008,"2,073,461"
Minnesota,3342,Communications equipment mfg,2008,"308,736"
Minnesota,3344,Semiconductor & other electronic component mfg,2008,"2,635,698"
Minnesota,3345,"Navigational, measuring, medical, & control instruments mfg",2008,"6,005,181"
Minnesota,335,"Electrical equipment, appliance, & component mfg",2008,"4,058,212"
Minnesota,3352,Household appliance mfg,2008,D
Minnesota,3353,Electrical equipment mfg,2008,"2,435,905"
Minnesota,3359,Other electrical equipment & component mfg,2008,"1,002,176"
Minnesota,336,Transportation equipment mfg,2008,"6,628,750"
Minnesota,3361,Motor vehicle mfg,2008,D
Minnesota,3362,Motor vehicle body & trailer mfg,2008,"750,751"
Minnesota,3363,Motor vehicle parts mfg,2008,"655,169"
Minnesota,3364,Aerospace product & parts mfg,2008,"440,694"
Minnesota,3366,Ship & boat building,2008,"555,331"
Minnesota,3369,Other transportation equipment mfg,2008,D
Minnesota,337,Furniture & related product mfg,2008,"1,762,027"
Minnesota,3371,Household & institutional furniture & kitchen cabinet mfg,2008,"948,121"
Minnesota,3372,Office furniture (including fixtures) mfg,2008,"732,974"
Minnesota,339,Miscellaneous mfg,2008,"6,515,899"
Minnesota,3391,Medical equipment & supplies mfg,2008,"5,192,880"
Minnesota,3399,Other miscellaneous mfg,2008,"1,323,020"
Mississippi,31-33,Manufacturing,2008,"62,555,502"
Mississippi,311,Food mfg,2008,"5,525,202"
Mississippi,3116,Animal  slaughtering & processing,2008,"3,293,508"
Mississippi,3117,Seafood product preparation & packaging,2008,"438,061"
Mississippi,314,Textile product mills,2008,D
Mississippi,315,Apparel mfg,2008,D
Mississippi,321,Wood product mfg,2008,"2,310,258"
Mississippi,3211,Sawmills & wood preservation,2008,"1,037,449"
